"","crime_day","temp","wdsp","NUM_CRIMES"
"290",7,47.5,11.5,0.518324607329843
"291",1,53.2,17,0.554973821989529
"292",2,51,19.7,0.609947643979058
"293",3,48.9,8.9,0.476439790575916
"294",4,50.3,12.1,0.602094240837696
"295",5,55.8,8.3,0.87434554973822
"296",6,62.4,13,0.672774869109948
"297",7,54.8,11.8,0.536649214659686
"298",1,60.8,18.1,0.696335078534031
"299",2,60.9,22.8,0.589005235602094
"300",3,47.8,15.8,0.657068062827225
"301",4,46.9,8.1,0.612565445026178
"302",5,43,27.5,0.727748691099476
"303",6,38.5,24.2,0.955497382198953
"304",7,41.7,11.4,0.473821989528796
"305",1,51,21.3,0.596858638743455
"306",2,55.3,23.5,0.602094240837696
"307",3,48.5,13.7,0.518324607329843
"308",4,48,22.8,0.321989528795811
"309",5,39.3,14.8,0.615183246073298
"310",6,43.7,19.4,0.523560209424084
"311",7,42.5,16.5,0.363874345549738
"312",1,50.1,14.7,0.602094240837696
"313",2,50.1,19.1,0.337696335078534
"314",3,30.2,18.1,0.130890052356021
"315",4,26.6,16.7,0.303664921465969
"316",5,26.5,10,0.544502617801047
"317",6,26.8,9.2,0.531413612565445
"318",7,29.2,12.5,0.340314136125654
"319",1,20.5,19.6,0.206806282722513
"320",2,13.9,25,0.204188481675393
"321",3,23,21.7,0.230366492146597
"322",4,23.2,21.8,0.227748691099476
"323",5,22.4,14.6,0.494764397905759
"324",6,37.7,22,0.476439790575916
"325",7,49.2,20.4,0.371727748691099
"326",1,42.4,17.6,0.120418848167539
"327",2,25.3,19.5,0.301047120418848
"328",3,25.1,8.1,0.342931937172775
"330",5,23.2,13.9,0.159685863874346
"331",6,38.3,20.9,0.418848167539267
"332",7,46.3,19.6,0.460732984293194
"333",1,23.8,17.4,0.709424083769634
"334",2,26.7,16.1,0.274869109947644
"335",3,31.3,16,0.534031413612565
"336",4,30.8,10.4,0.379581151832461
"337",5,34.3,9.4,0.675392670157068
"338",6,37.1,15.4,0.301047120418848
