"","crime_day","temp","wdsp","NUM_CRIMES"
"618",3,72.7,9.3,0.598971722365039
"619",4,74.1,8.7,0.6426735218509
"620",5,76.6,13.4,0.80719794344473
"621",6,76.2,6.4,0.766066838046273
"622",7,75,9.5,0.575835475578406
"623",1,66.3,20.1,0.61439588688946
"624",2,66.7,9.4,0.264781491002571
"625",3,66,11.8,0.647814910025707
"626",4,69,7.3,0.629820051413882
"627",5,70.2,24.2,0.645244215938303
"628",6,70.1,28,0.663239074550129
"629",7,70.5,19.6,0.616966580976864
"630",1,70.2,9.7,0.691516709511568
"631",2,68,15.3,0.868894601542416
"632",3,63.5,12.6,0.552699228791774
"633",4,67.4,12.4,0.529562982005141
"634",5,67.8,15.6,0.645244215938303
"635",6,68.4,19.1,0.673521850899743
"636",7,73.3,23.5,0.588688946015424
"637",1,60.4,15.1,0.650385604113111
"638",2,63.5,10.9,0.411311053984576
"639",3,63,9,0.467866323907455
"640",4,63.3,12.3,0.57840616966581
"641",5,69.5,14,0.67866323907455
"642",6,67.4,17.7,0.598971722365039
"643",7,61.9,19,0.372750642673522
"644",1,52.6,23.5,0.339331619537275
"645",2,49.2,24.4,0.290488431876607
"646",3,49.3,17.3,0.431876606683805
"647",4,55.3,10.3,0.488431876606684
"648",5,59,15.6,0.467866323907455
"649",6,62.2,11.3,0.552699228791774
"650",7,67.7,15.9,0.719794344473008
"651",1,70.9,16.7,0.588688946015424
"652",2,68.4,19.5,0.583547557840617
"653",3,65.1,18.6,0.411311053984576
"654",4,59.1,9.8,0.42159383033419
"655",5,59.5,14.7,0.591259640102828
"656",6,55.3,16.5,0.67866323907455
"657",7,54.1,7.4,0.544987146529563
"658",1,57.6,16,0.562982005141388
"659",2,71.7,29.6,0.655526992287918
"660",3,74,33,0.758354755784062
"661",4,67.7,30.1,0.686375321336761
"662",5,47.5,18.4,1
"663",6,52.1,10.9,0.424164524421594
"664",7,58.1,22.6,0.467866323907455
"665",1,66.2,19.6,0.444730077120823
"666",2,66.2,26.4,0.161953727506427
"667",3,59.1,13.2,0.429305912596401
"668",4,53.5,10.2,0.532133676092545
"669",5,55.3,12.7,0.583547557840617
"670",6,55.3,21.4,0.529562982005141
"671",7,56.8,19.7,0.354755784061697
"672",1,55.9,20.8,0.406169665809769
"673",2,48.9,18.7,0.560411311053985
"674",3,49.8,23.4,0.370179948586118
"675",4,54.3,16.2,0.634961439588689
"676",5,52.5,11.7,0.526992287917738
"677",6,53.2,12.4,0.488431876606684
"678",7,53.4,19,0.313624678663239
"679",5,46.1,24,0.380462724935733
"680",6,44.4,13.7,0.365038560411311
"681",7,44.1,14.1,0.334190231362468
"682",1,53.1,11.8,0.401028277634961
"683",2,37.7,19.8,0.395886889460154
"684",3,42.2,7.7,0.32133676092545
"686",5,27.9,23.4,0.118251928020566
"687",6,22,19.8,0.089974293059126
"688",1,24.1,12,0.388174807197943
"689",2,27.1,17.1,0.429305912596401
"690",3,32.2,27.4,0.313624678663239
