"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","NUM_CRIMES"
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,55.8,21.2,0.691099476439791
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,50.3,7,0.630890052356021
"97",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,61.7,17.6,0.853403141361257
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,65.7,22.8,0.350785340314136
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,41.6,24,0.37434554973822
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,29.1,16.5,0.536649214659686
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,37.3,15.8,0.591623036649215
"102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,47.8,18.8,0.759162303664921
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,42.7,11.6,0.630890052356021
"104",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,39,10.8,0.549738219895288
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,51.7,13,0.37696335078534
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,63.3,13.6,0.484293193717277
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,48.6,14,0.5
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,37.8,11.4,0.50261780104712
"109",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,43.7,13.6,0.583769633507853
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,50.9,12.6,0.790575916230366
"111",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,49.2,14.3,0.609947643979058
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,41.8,18.6,0.332460732984293
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,45.9,15.1,0.468586387434555
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,48.1,9.6,0.633507853403141
"115",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,51.2,12,0.662303664921466
"116",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,45.8,17.5,0.890052356020942
"117",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,48,14.3,0.835078534031414
"118",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,54,19.8,0.523560209424084
"119",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2014,52.5,13.5,0.458115183246073
"120",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2014,43.5,16,0.785340314136126
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2014,43.8,15.7,0.732984293193717
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2014,51,14.8,0.586387434554974
"123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,65.8,13.3,0.581151832460733
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,69,22.1,0.832460732984293
